show_id,type,title,director,casts,country,date_added,release_year,rating,duration,listed_in,description
s31,TV Show,La Casa de Papel,,"Álvaro Morte, Itziar Ituño, Jaime Lorente",Spain,"July 20, 2021",2021,TV-MA,5 Seasons,"Action, Crime, Mystery","A criminal mastermind and his team execute the greatest heist ever planned, taking hostages in the Royal Mint of Spain."
s32,Movie,Ludo,Anurag Basu,"Abhishek Bachchan, Aditya Roy Kapur, Rajkummar Rao",India,"November 12, 2020",2020,TV-14,148 min,"Comedy, Crime, Drama","Four separate stories come together in a quirky tale of luck, love, and adventure as the lives of people intertwine."
s33,TV Show,Virgin River,Sue Tenney,"Alexandra Breckenridge, Martin Henderson, Tim Matheson",United States,"November 19, 2021",2021,TV-MA,5 Seasons,"Drama, Romance",A nurse practitioner moves from Los Angeles to a remote Northern California town and finds love while healing old wounds.
s34,Movie,Enola Holmes,Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin",United Kingdom,"September 23, 2020",2020,PG-13,123 min,"Adventure, Comedy, Mystery","When Enola Holmes discovers her mother is missing she sets off to find her, becoming a detective and matching wits with her older brother."
s35,TV Show,Peaky Blinders,Steven Knight,"Cillian Murphy, Paul Anderson, Helen McCrory",United Kingdom,"September 5, 2021",2022,TV-MA,6 Seasons,"Crime, Drama, History","A gangster family epic set in 1919 Birmingham, England, centered on the Shelby crime family and their fierce ambitions."
s36,Movie,Gunjan Saxena,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi",India,"August 12, 2020",2020,TV-PG,112 min,"Biography, Drama","The story of Gunjan Saxena, the first Indian woman combat pilot who served during the Kargil War in 1999."
s37,TV Show,Altered Carbon,Laeta Kalogridis,"Joel Kinnaman, James Purefoy, Martha Higareda",United States,"February 2, 2021",2020,TV-MA,2 Seasons,"Action, Drama, Mystery","In a future where consciousness can be transferred between bodies, a former soldier investigates a brutal murder."
s38,Movie,Baahubali 2,S.S. Rajamouli,"Prabhas, Anushka Shetty, Rana Daggubati",India,"April 28, 2020",2017,TV-14,167 min,"Action, Adventure, Drama",A young man raised by tribal people discovers his royal heritage and avenges the kill of his legendary warrior father.
s39,TV Show,The Umbrella Academy,Steve Blackman,"Elliot Page, Tom Hopper, David Castañeda",United States,"February 19, 2021",2021,TV-14,3 Seasons,"Action, Adventure, Comedy",A family of former child heroes reunites to solve their adoptive fathers mysterious death and the threat of an apocalypse.
s40,Movie,Mirzapur,Karan Anshuman,"Ali Fazal, Pankaj Tripathi, Vikrant Massey",India,"January 15, 2020",2018,TV-MA,120 min,"Action, Crime, Drama",Two brothers are drawn into the world of crime and violence after an encounter with the powerful don of Mirzapur.
s41,TV Show,Bridgerton,Chris Van Dusen,"Phoebe Dynevor, Regé-Jean Page, Jonathan Bailey",United Kingdom,"December 25, 2020",2020,TV-MA,3 Seasons,"Drama, History, Romance","Set in the Regency era, the powerful Bridgerton family looks for love and good matches for each of their eight children."
s42,Movie,Chhichhore,Nitesh Tiwari,"Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma",India,"October 11, 2019",2019,TV-14,143 min,"Comedy, Drama",A group of middle-aged friends revisit their college days and reminisce about their youthful adventures and true friendship.
s43,TV Show,Never Have I Ever,Mindy Kaling,"Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet",United States,"April 27, 2021",2021,TV-14,4 Seasons,"Comedy, Drama, Romance","An Indian-American teen navigates high school, friendships, and a complicated love life while dealing with the loss of her father."
s44,Movie,Bard of Blood,Ribhu Dasgupta,"Emraan Hashmi, Vineet Kumar Singh, Kirti Kulhari",India,"September 27, 2019",2019,TV-MA,118 min,"Action, Drama, Thriller","A disgraced spy is sent on a mission to rescue agents held captive in Balochistan, facing kill-or-be-killed situations."
s45,TV Show,Sex Education,Laurie Nunn,"Asa Butterfield, Emma Mackey, Ncuti Gatwa",United Kingdom,"January 11, 2021",2021,TV-MA,4 Seasons,"Comedy, Drama",An awkward teenager with a sex therapist mother teams up with a bad girl to set up an underground sex therapy clinic at school.
s46,Movie,Jojo Rabbit,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson",Germany,"January 31, 2020",2019,PG-13,108 min,"Comedy, Drama, War","A lonely German boy in the Hitler Youth discovers his single mother is hiding a Jewish girl, and his world view is shattered."
s47,TV Show,Better Call Saul,Vince Gilligan,"Bob Odenkirk, Jonathan Banks, Rhea Seehorn",United States,"February 8, 2021",2022,TV-MA,6 Seasons,"Crime, Drama",The trials and tribulations of criminal lawyer Jimmy McGill in the years before he transformed into morally challenged Saul Goodman.
s48,Movie,Durgamati,G. Ashok,"Bhumi Pednekar, Arshad Warsi, Mahie Gill",India,"December 11, 2020",2020,TV-14,121 min,"Drama, Horror, Mystery",An IAS officer on trial for murder is sent to a haunted mansion and begins experiencing strange and terrifying events.
s49,TV Show,The Haunting of Hill House,Mike Flanagan,"Michiel Huisman, Carla Gugino, Henry Thomas",United States,"October 12, 2021",2018,TV-MA,1 Season,"Drama, Horror, Mystery",A family who grew up in a haunted mansion is forced to confront their past when they return to the house as adults.
s50,Movie,White Tiger,Ramin Bahrani,"Adarsh Gourav, Rajkummar Rao, Priyanka Chopra",India,"January 22, 2021",2021,R,125 min,"Crime, Drama, Thriller",A resourceful man from a poor village in India uses his cunning and ruthless ambition to escape poverty and rise to become a successful entrepreneur.
s51,TV Show,Cobra Kai,Jon Hurwitz,"William Zabka, Ralph Macchio, Courtney Henggeler",United States,"August 28, 2020",2022,TV-14,5 Seasons,"Action, Comedy, Drama","Decades after their rivalry began, Johnny Lawrence and Daniel LaRusso re-examine their lives as their paths cross again."
s52,Movie,Haseen Dillruba,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane",India,"July 2, 2021",2021,TV-MA,124 min,"Crime, Drama, Mystery","A murder investigation leads the police to suspect a woman who was having an affair while married, revealing layers of deception."
s53,TV Show,Manifest,Jeff Rake,"Melissa Roxburgh, Josh Dallas, J.R. Ramirez",United States,"November 1, 2021",2022,TV-14,4 Seasons,"Drama, Mystery, Sci-Fi","After landing from a turbulent flight, passengers discover five and a half years have passed without their knowledge."
s54,Movie,Coolie No.1,David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal",India,"December 25, 2020",2020,TV-PG,132 min,"Comedy, Romance","A porter pretends to be a rich man to impress a woman, leading to a series of hilarious misadventures."
s55,TV Show,Cursed,Frank Miller,"Katherine Langford, Devon Terrell, Gustaf Skarsgård",United Kingdom,"July 17, 2021",2020,TV-MA,1 Season,"Action, Adventure, Drama","A reimagining of the Arthurian legend told through the eyes of Nimue, a young woman with a mysterious gift."
s56,Movie,Guilty,Ruchi Narain,"Kiara Advani, Gurfateh Pirzada, Akansha Ranjan",India,"March 6, 2021",2020,TV-MA,112 min,"Drama, Mystery, Thriller","A popular college student is accused of sexual assault, forcing his girlfriend to confront uncomfortable truths."
s57,TV Show,The Last Kingdom,Stephen Butchard,"Alexander Dreymon, Emily Cox, David Dawson",United Kingdom,"March 26, 2022",2022,TV-MA,5 Seasons,"Action, Drama, History","As Alfred the Great defends his kingdom from Norse invaders, Uhtred, born a Saxon but raised by Vikings, must decide his fate."
s58,Movie,Shakuntala Devi,Anu Menon,"Vidya Balan, Sanya Malhotra, Jisshu Sengupta",India,"July 31, 2020",2020,TV-PG,137 min,"Biography, Drama","The story of math genius Shakuntala Devi, nicknamed the human computer, and her complicated relationship with her daughter."
s59,TV Show,On My Block,Lauren Iungerich,"Sierra Capri, Jason Genao, Brett Gray",United States,"March 11, 2021",2021,TV-MA,4 Seasons,"Comedy, Drama","A coming-of-age story about four bright, street-savvy friends who face the challenges of navigating high school in South Los Angeles."
s60,Movie,Bulbbul,Anvita Dutt,"Tripti Dimri, Rahul Bose, Avinash Tiwary",India,"June 24, 2021",2020,TV-MA,95 min,"Drama, Horror, Mystery",A child bride grows up to become a fearless woman who defends her village against the violence perpetrated by the local patriarchy.
s61,TV Show,The Politician,Ryan Murphy,"Ben Platt, Gwyneth Paltrow, Judith Light",United States,"September 27, 2020",2020,TV-MA,2 Seasons,"Comedy, Drama",A wealthy Santa Barbara student with political ambitions sets his sights on being elected student body president of his high school.
s62,Movie,Cargo,Arati Kadav,"Vikrant Massey, Shweta Tripathi Sharma, Nandu Madhav",India,"September 9, 2020",2020,TV-PG,110 min,"Drama, Fantasy, Sci-Fi",A rakshasa works alone on a spaceship processing deceased humans for reincarnation and seeks human connection.
s63,TV Show,Locke & Key,Carlton Cuse,"Darby Stanchfield, Connor Jessup, Emilia Jones",United States,"February 7, 2021",2022,TV-14,3 Seasons,"Drama, Fantasy, Horror","After their father is murdered, three siblings move with their mother to the ancestral home where they discover magical keys."
s64,Movie,Dolly Kitty,Alankrita Shrivastava,"Konkona Sensharma, Bhumi Pednekar, Amol Parashar",India,"September 18, 2020",2020,TV-MA,119 min,Drama,Two cousins from a small town grapple with their respective dreams and struggles against societal norms and expectations.
s65,TV Show,Tribes of Europa,Philip Koch,"Emilio Sakraya, Henriette Confurius, Melika Foroutan",Germany,"February 19, 2021",2021,TV-MA,1 Season,"Action, Drama, Sci-Fi","In a 2074 Europe where the continent has splintered into countless micro-states, three siblings become pawns in a power struggle."
s66,Movie,Dil Dhadakne Do,,"Ranveer Singh, Priyanka Chopra, Anushka Sharma",India,"October 1, 2021",2015,TV-PG,170 min,"Comedy, Drama",A dysfunctional wealthy family takes a cruise trip that reveals long-kept secrets and leads to major life decisions.
s67,TV Show,Grace and Frankie,Marta Kauffman,"Jane Fonda, Lily Tomlin, Martin Sheen",United States,"May 28, 2022",2022,TV-MA,7 Seasons,Comedy,Two women are brought together after their husbands reveal they are in love with each other and plan to get married.
s68,Movie,Tanhaji,Om Raut,"Ajay Devgn, Saif Ali Khan, Kajol",India,"August 7, 2020",2020,TV-14,134 min,"Action, Biography, History",The story of Maratha warrior Tanhaji Malusare and his mission to reclaim a strategically important fort from the Mughal forces.
s69,TV Show,Ragnarok,Adam Price,"David Stakston, Jonas Strand Gravli, Theresa Frostad Eggesbø",Norway,"January 31, 2020",2020,TV-14,3 Seasons,"Drama, Fantasy","A small Norwegian town is plagued by climate change and industrial pollution, and a teenager discovers he might be Thor reincarnated."
s70,Movie,Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Aditya Shrivastava",India,"July 31, 2020",2020,TV-MA,157 min,"Crime, Drama, Mystery","A cop from a small city investigates the murder of a wealthy man on his wedding night, uncovering dark family secrets."
s71,TV Show,Suburra: Blood on Rome,Andrea Molaioli,"Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini",Italy,"October 6, 2020",2020,TV-MA,3 Seasons,"Crime, Drama, Thriller",Ruthless street gangsters battle corrupt politicians and the Vatican in a fight for control of a seaside town near Rome.
s72,Movie,Rajiv Chilaka Film 1,Rajiv Chilaka,"Rajesh Sharma, Mithun Chakraborty, Chunky Pandey",India,"April 15, 2019",2019,TV-PG,102 min,"Animation, Comedy, Family",An animated adventure following the beloved green ninja boy Chhota Bheem as he battles villains to protect his kingdom.
s73,TV Show,Chilling Adventures,,"Kiernan Shipka, Ross Lynch, Lucy Davis",United States,"October 26, 2020",2020,TV-14,4 Seasons,"Drama, Fantasy, Horror","As Sabrina navigates between the witch and mortal worlds, she is faced with new and powerful threats to herself and those she loves."
s74,Movie,Rajiv Chilaka Film 2,Rajiv Chilaka,Voice cast of Chhota Bheem animated series,India,"August 10, 2020",2020,TV-Y7,85 min,"Animation, Family",Chhota Bheem and his friends embark on a daring adventure to save their kingdom from an evil sorcerer and his army of monsters.
s75,TV Show,Sweet Magnolias,Sheryl J. Anderson,"JoAnna Garcia Swisher, Brooke Elliott, Heather Headley",United States,"May 19, 2021",2021,TV-14,3 Seasons,"Drama, Romance","Three best friends navigate life, love, and business in the small, South Carolina town of Serenity."
s76,Movie,Gulabo Sitabo,Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Vijay Raaz",India,"June 12, 2020",2020,TV-14,126 min,"Comedy, Drama",An old mansion owner and a tenant clash over the property in a quirky battle of wits in the streets of Lucknow.
s77,TV Show,Messiah,Michael Petroni,"Michelle Monaghan, Mehdi Dehbi, Tomer Sisley",United States,"January 1, 2021",2020,TV-MA,1 Season,"Drama, Mystery, Thriller",A CIA officer investigates a man who may be a divine messenger from God or a dangerous terrorist.
s78,Movie,Bhoot Police,Pavan Kirpalani,"Saif Ali Khan, Arjun Kapoor, Yami Gautam",India,"September 17, 2021",2021,TV-14,117 min,"Comedy, Horror",Two ghost hunters travel to a haunted village in the hills and are unexpectedly called to get rid of an evil spirit.
s79,TV Show,Ginny and Georgia,Sarah Lampert,"Brianne Howey, Antonia Gentry, Diesel La Torraca",United States,"February 24, 2021",2021,TV-MA,2 Seasons,"Comedy, Drama, Mystery","Free-spirited Georgia and her daughter Ginny move to a quaint New England town to start a fresh life, but not everything is as it seems."
s80,Movie,Sandeep Aur Pinky Faraar,Dibakar Banerjee,"Arjun Kapoor, Parineeti Chopra, Jaideep Ahlawat",India,"March 19, 2021",2021,TV-MA,114 min,"Drama, Thriller","A suspended cop and a corporate executive, both on the run, are forced together in an unlikely escape across the country."
s81,TV Show,Black Mirror,Charlie Brooker,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel",United Kingdom,"December 29, 2021",2022,TV-MA,6 Seasons,"Drama, Sci-Fi, Thriller",An anthology series exploring a twisted high-tech near-future where the greatest and darkest technological innovations prevail.
s82,Movie,Gehraiyaan,Shakun Batra,"Deepika Padukone, Siddhant Chaturvedi, Ananya Panday",India,"February 11, 2022",2022,TV-MA,134 min,"Drama, Romance, Thriller",Two cousins whose lives are intertwined with their significant others find their relationships tested in unexpected ways.
s83,TV Show,You,Greg Berlanti,"Penn Badgley, Victoria Pedretti, Elizabeth Lail",United States,"December 26, 2021",2021,TV-MA,4 Seasons,"Crime, Drama, Romance",A dangerously obsessive and intelligent man with a murderous dark side will do whatever it takes to be with the woman he loves.
s84,Movie,The Trial of Chicago 7,Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen",United States,"October 16, 2020",2020,R,130 min,"Drama, History, Thriller",The story of seven people on trial stemming from various charges surrounding the 1968 Democratic National Convention protests.
s85,TV Show,Katla,Baltasar Kormákur,"Guðrún Ýr Eyfjörð, Ingvar Sigurðsson, Aliette Opheim",Iceland,"June 17, 2021",2021,TV-MA,1 Season,"Drama, Mystery, Sci-Fi","Following a volcanic eruption in Iceland, people from the past begin to emerge from the glacier, unsettling a small community."
s86,Movie,Tujhse Naraaz Nahi,,"Salman Khan, Katrina Kaif, Anushka Sharma",India,"April 5, 2022",2019,TV-PG,108 min,"Drama, Romance",A romantic drama where a misunderstood hero tries to reconnect with his estranged family while battling personal demons.
s87,TV Show,The Protector,Binnur Karaevli,"Çagatay Ulusoy, Ayça Aysin Turan, Hazar Ergüçlü",Turkey,"December 14, 2021",2020,TV-MA,4 Seasons,"Action, Drama, Fantasy",A young man from Istanbul discovers he is the last member of an ancient order sworn to protect the city from an immortal enemy.
s88,Movie,Thappad,Anubhav Sinha,"Taapsee Pannu, Pavail Gulati, Dia Mirza",India,"August 28, 2020",2020,TV-14,142 min,Drama,"A successful womans seemingly perfect life is shattered when her husband slaps her at a party, prompting her to reassess everything."
s89,TV Show,The Spy,Gideon Raff,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem",France,"September 6, 2021",2019,TV-MA,1 Season,"Biography, Drama, History","The story of Eli Cohen, one of Mossads top agents, who goes undercover in Syria in the 1960s to gather intelligence for Israel."
s90,Movie,Salman Khan Blockbuster,Rohit Shetty,"Salman Khan, Katrina Kaif, Jacqueline Fernandez",India,"March 1, 2020",2020,TV-PG,145 min,"Action, Comedy, Romance",Salman Khan stars as a loveable rogue who becomes an undercover cop to dismantle a major drug cartel in Mumbai.
s91,TV Show,Rekha ki Kahani,,"Salman Khan, Revathi, Naseeruddin Shah",India,"January 10, 2022",2022,TV-14,2 Seasons,"Drama, Romance",A sweeping drama following the intertwined destinies of three families across multiple decades in post-partition India.
s92,Movie,Salman Action Flick,Abbas-Mustan,"Salman Khan, Priyanka Chopra, Ranveer Singh",India,"June 18, 2021",2021,TV-14,138 min,"Action, Thriller",Salman Khan plays an elite counter-terrorism agent on a mission to stop a plot that could kill millions and cause global chaos.
s93,TV Show,Money Heist Korea,Kim Hong-sun,"Yoo Ji-tae, Kim Yunjin, Park Hae-soo",South Korea,"June 24, 2022",2022,TV-MA,1 Season,"Action, Crime, Drama","A group of criminals under the command of the Professor plan a heist on the Joint Economic Area, which unites the two Koreas."
s94,Movie,Salman Star Saga,Salim Khan,"Salman Khan, Sonakshi Sinha, Aayush Sharma",India,"November 5, 2021",2021,TV-14,152 min,"Action, Drama",A classic revenge story where Salman Khan returns to his roots to avenge his family and restore justice to his village.
s95,TV Show,Rayuela,Marcos Osorio,"Valentina Bassi, Rafael Spregelburd, Nicolás Francella",Argentina,"May 18, 2021",2021,TV-MA,1 Season,"Drama, Mystery, Thriller",Five diverse families living in a Buenos Aires building are connected by a tragedy that will change their lives forever.
s96,Movie,True Spirit,Sarah Spillane,"Teagan Croft, Anna Paquin, Josh Lawson",Australia,"February 3, 2023",2023,TV-PG,101 min,"Adventure, Biography, Drama","The inspiring true story of Jessica Watson, who in 2010 became the youngest person to sail solo around the world non-stop."
s97,TV Show,The Haunting of Bly Manor,Mike Flanagan,"Victoria Pedretti, Henry Thomas, Oliver Jackson-Cohen",United Kingdom,"October 9, 2021",2020,TV-MA,1 Season,"Drama, Horror, Mystery","An au pair is hired to take care of two children in an estate in the English countryside, only to discover dark secrets."
s98,Movie,Wonder,Stephen Chbosky,"Jacob Tremblay, Owen Wilson, Julia Roberts",United States,"December 5, 2020",2017,PG,113 min,"Drama, Family","Based on the New York Times bestseller, this is the inspiring and heartwarming story of August Pullman, a boy with facial differences."
s99,TV Show,The Blacklist,Jon Bokenkamp,"James Spader, Megan Boone, Diego Klattenhoff",United States,"October 22, 2021",2021,TV-14,9 Seasons,"Crime, Drama, Mystery",A criminal mastermind turns himself in to the FBI and offers to help them track down the worlds most dangerous criminals.
s100,Movie,The Two Popes,Fernando Meirelles,"Anthony Hopkins, Jonathan Pryce, Juan Minujín",United Kingdom,"November 27, 2020",2019,PG-13,125 min,"Biography, Drama, History","Behind Vatican walls, the conservative Pope Benedict XVI and the progressive future Pope Francis must find common ground."
